Sexo Masa Per_abdo Long_pie Long_man Estatura
Hom 93.3 103.1 25.7 18.1 162.6
Hom 80.8 76.5 28.4 21 188.2
Hom 63.3 75.8 25.4 17.8 170.4
Hom 60.1 86.1 25 18.3 165.4
Hom 66 82.1 25 19.5 165.1
Hom 90.8 95 27.4 18.4 174.6
Hom 50.2 70.7 24.4 17.8 166.3
Hom 68.6 85.4 26 18.7 174.9
Hom 74.7 84.2 23.9 18.2 165.4
Hom 72.7 82.2 26 18.7 171
Hom 51.3 67.7 23.7 16.8 159
Hom 59.6 75.1 24 18.3 165.9
Hom 60.8 75 25.2 18.8 163.9
Hom 68.2 78.6 28.2 20 185.7
Hom 59.3 76 25.7 19 174.2
Hom 67 81.3 24.6 17.9 168.4
Hom 63 76.6 25.3 17.8 166.2
Hom 81.3 86.2 27.7 19.5 174.6
Hom 68.6 79.4 24.2 18.5 172.6
Hom 49.6 74.2 24.4 18.2 155.2
Hom 66.4 81.1 24.8 19 170.8
Hom 61.5 74.4 25.6 19.1 168.2
Hom 60.4 73.6 25 18.4 165.7
Hom 55.8 70.3 23.1 17.5 164.6
Hom 66.1 77.5 24.1 17.2 167.2
Hom 62.3 77.6 26.4 18.7 170.8
Hom 71.7 75.1 27.5 19 184.7
Hom 59.4 75.5 24.7 17.8 166.4
Hom 78.1 83.3 27.3 19.4 178.3
Hom 64.6 77.4 26.5 19.1 169.2
Hom 67.2 77 24.1 17.8 163.7
Hom 84.4 91.3 25.3 17.2 173.4
Hom 75.8 88.2 25.1 17.7 168.4
Hom 77.4 98.1 24.8 19.3 160.3
Hom 70.9 90.3 24.7 17.6 165.5
Hom 64.1 86.1 24.4 18 162.1
Hom 50.7 69 25 17.5 165.7
Hom 57 79 22.9 18.2 164.5
Hom 73.2 93.7 25.4 19 166.2
Hom 91.8 92.1 25.9 19 167.2
Hom 77.1 87.1 26.6 19 171.5
Hom 81.2 96.6 25.5 18.3 168.4
Hom 82.6 92.3 25.5 18.3 172.3
Hom 66.4 78.2 27.6 19.2 183
Hom 55.6 71.2 24.1 18 166.5
Hom 66.4 82.3 26.1 18.8 166
Hom 63.1 80.6 24 18.5 164.4
Hom 78 91.2 25.3 17.7 172.6
Hom 66.4 84.9 25.9 17.4 168.7
Hom 72.9 83.2 26.9 19.7 178.7
Hom 77.4 90.2 24.7 17.1 169.5
Hom 72.8 81 26.4 19.7 174
Hom 69.6 84.4 24.9 19.1 171.7
Hom 70.9 93.5 24.4 17.3 160.6
Hom 60.5 74.4 25.5 18.8 167.5
Hom 83.7 88.7 26 19 173.3
Hom 73.7 87.6 24.1 18.1 174.7
Hom 85.5 95.6 27.2 19.4 177.2
Hom 44.5 67.4 23.1 17 157.7
Hom 63.4 80.6 23.6 17.4 163.8
Hom 64.2 78.5 25.2 18.6 170.1
Hom 83.8 99.3 26.8 19 175.3
Hom 63 79.2 24.1 17.2 163
Hom 68.2 82.5 25.4 17.8 167.7
Hom 55.9 80.2 24.4 18.4 160.7
Hom 89.2 103.2 26.1 19.2 175.7
Hom 65.5 95 23.3 18.5 156.6
Hom 57.4 71.5 26 19.7 172.6
Hom 69.2 78.4 26.6 19.2 178.4
Hom 49.1 67 24.3 18 165.3
Hom 68.5 81 25.1 18.2 175
Hom 60.2 85.5 23.2 17.1 162.4
Hom 88.4 92 27.7 20.4 185.8
Hom 81.1 101.9 23.7 17.3 159.7
Hom 66.1 78.8 25.7 18.9 167.2
Hom 78.2 89.3 23.7 17.8 168.9
Hom 56.2 76.1 24.4 17.2 167.5
Hom 67.1 78.4 25.6 18.2 169.7
Hom 66.6 76.5 27.5 19.5 177.4
Hom 82.3 96.8 26.2 17.2 166.6
Hom 76.2 84 26.3 19.4 173.6
Hom 88.2 92.6 26.2 19 176.6
Hom 63.8 79.8 24.4 18.4 170.8
Hom 77.7 96.8 26 18.5 169.4
Hom 89.7 100.1 23.2 17.3 164.5
Hom 73.9 91.7 25.2 19.2 166.4
Hom 66.8 81.1 25.8 18.8 167.2
Hom 61.2 76.7 24.7 17.5 167
Hom 76.1 86.8 26.5 18.6 173.7
Hom 65.8 86.1 23.2 18 165.3
Hom 71.2 82.7 23.5 16.9 165.6
Hom 53.4 78.3 22.8 16 156.1
Hom 49.8 66.4 24.6 17.4 165.1
Hom 69.3 81.4 26.3 18.6 164.9
Hom 69.2 85.8 24.1 16.7 165.2
Hom 60 77.7 26.6 19.3 168.6
Hom 56 73 24.1 17.6 165.8
Hom 67.4 79.1 24.5 16.8 167.6
Hom 56.7 72.1 25.4 18 159.8
Hom 85.4 95.4 25.9 17.8 170.3
Hom 71.9 82.9 25.7 18.5 179.5
Hom 57.4 75.1 24.6 18.3 167.7
Hom 74.9 84.2 25.8 18.4 177.5
Hom 61 79.2 24.1 17.2 161.7
Hom 80 88 26.5 18 167.1
Hom 89.5 97.2 27.7 19.5 179.7
Hom 58.2 75 26 18.6 167.5
Hom 65.5 87.6 23.6 17.4 160.2
Hom 81.5 91.5 24.2 16.9 168.2
Hom 64.9 77.2 26.3 19.6 170.2
Hom 49.1 64.9 23.1 16.5 164.4
Hom 66.1 73.8 27.6 20.9 181.6
Hom 59.7 70.1 24.6 17.8 167.7
Hom 69.4 83.5 24 17.8 168.8
Hom 71.1 85 25.5 18.2 169.7
Hom 52 73.1 23.4 16.4 158.3
Hom 59.9 76.4 27.1 19.5 176.5
Hom 48.6 75.1 24.3 16.9 160.8
Hom 62.1 78.3 25.1 17.5 166
Hom 59.3 72.2 25 18.1 171.4
Hom 67.5 81.4 24.1 17 165.5
Hom 59.3 75.6 25.1 17.9 164.2
Hom 70.1 81.2 26.8 18.1 178.5
Hom 57.4 76.7 24.6 16.6 169.4
Hom 66.9 92.2 24.9 17 161.3
Hom 67.9 79.4 26 18.9 174
Hom 57.9 90.2 23.1 16.2 153.2
Hom 69.2 79.6 25 17.5 171.1
Hom 68.3 81.3 24.5 17.7 177.2
Hom 64.6 74 26.3 18.8 167.4
Hom 54.3 67.3 25.5 18.1 175
Hom 70.8 91.9 25.1 17.8 168.6
Hom 61.1 72 25.7 18.9 170.9
Hom 59.9 72.3 25.7 18.1 172.3
Hom 60.5 75.2 24.3 17.2 165.9
Hom 69 77.6 27.3 19.8 179.4
Hom 59.8 75.4 27.1 18.2 168
Hom 68.4 82.1 25.7 18.6 163.5
Hom 87.6 90.3 26.8 18.7 188
Hom 66.7 77.3 24.8 18.7 181.5
Hom 76.8 96 26 18.1 168.2
Hom 80.9 87 28.3 19.7 180.2
Hom 68.4 78.1 25.4 18.7 168.7
Hom 63.1 79.6 24.9 17.8 164.8
Hom 80.2 82.5 26.1 19 173.3
Hom 64.1 79.7 26 18.8 168
Hom 59.4 74.6 26 18.5 166.6
Hom 74.8 87.5 25.7 19.1 167.4
Hom 84.6 95.6 27.4 20.1 173.3
Hom 67.7 81.9 27.3 19.2 173.5
Hom 66.8 86.5 25.3 18.2 163.3
Hom 61.1 73.4 24.5 18.2 177.9
Hom 72.3 78.5 27 18.6 171.9
Hom 71.1 80.8 25.7 18.5 163.7
Hom 85.5 90.6 26.4 19.1 173.7
Hom 55 73.4 24.1 17.2 166.7
Hom 64.3 76.9 24.9 16.8 168.2
Hom 57.2 72.9 24.4 18 162.3
Hom 58.9 66.8 26.1 18.9 173.1
Hom 62 73.1 26.3 18.6 169.2
Hom 78.8 96.6 25.8 18.3 167.4
Hom 64.4 82.9 24.6 17.6 163.6
Hom 73.4 85.4 25.7 18 167.7
Hom 69.9 95.2 22.5 16.9 153.7
Hom 73.4 94.7 24.2 18.5 164.7
Hom 70.3 91.3 24.7 18.4 166.2
Hom 62 82.9 24.8 18.3 162.8
Hom 66.7 78.4 25.1 17.4 168.5
Hom 68.5 82 25.7 18.2 178.2
Hom 71.1 75.6 24.6 18.7 172.5
Hom 68 80.3 25.1 18.1 166.1
Hom 64.9 80.6 26.4 18.3 169.5
Hom 68.2 75.4 26.1 20.2 176.8
Hom 79 97.4 25.3 18.3 165
Hom 60 73.6 24 16.9 170.2
Hom 69.9 89.9 25.2 18.4 164.6
Hom 75 97.1 24.5 17.8 165.3
Hom 68.5 92.8 23.8 17.2 163.9
Hom 70 82.5 24.7 19.4 167.4
Hom 76.3 94.6 26.7 19.3 173
Hom 64.5 87.2 23.9 16.8 160
Hom 78.3 90.7 25.9 19 171
Hom 87.1 103.5 25.3 17.9 168
Hom 56.8 76.4 23.3 17.2 159.1
Hom 69.6 79.4 26.5 18.5 173.5
Hom 61.3 76.1 24.1 18.5 166.7
Hom 68.4 87.5 25.4 18 166.6
Hom 61.6 75.1 25.1 17.9 167.1
Hom 61.6 70.1 27 19.7 177.5
Hom 83.2 86.6 26.9 18.7 178.7
Hom 77.8 97.6 24.7 18.1 163.3
Hom 75.1 85.1 25.1 18.2 171.4
Hom 77.2 92.5 26.2 20 175
Hom 69.5 83.2 25 18.8 169.1
Hom 61 75.1 26.4 18.2 170.5
Hom 71 84.8 25.1 18.6 173
